OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
1,21 299411 01 1L,Kennels and Pet Shops,2853914 ONTARIO INC. O/A THE URBAN ZOO,540 CONCESSION ST  HAMILTON ON,2024/12/06 05:00:00+00
2,21 298734 03 1L,Kennels and Pet Shops,4 PAWS TREE HOUSE BOARDING & DAYCARE INC,636 MILLGROVE SIDEROAD  FLAMBOROUGH ON,2025/02/26 05:00:00+00
3,19 296849 04 1L,Kennels and Pet Shops,5006807 ONTARIO INC O/A RUFFINS PET CENTRE,557 MAIN ST E  HAMILTON ON,2024/11/11 05:00:00+00
4,14 172152 09 1L,Kennels and Pet Shops,A. GLEN SAXON KENNELS,1854 TRINITY RD S  ANCASTER ON,2024/12/11 05:00:00+00
5,14 209622 09 1L,Kennels and Pet Shops,ALL SEASONS KENNELS,557 RYMAL RD E  HAMILTON ON,2024/07/12 05:00:00+00
6,14 244801 08 1L,Kennels and Pet Shops,BINBROOK CAMP KENNELS,458 HALL RD  GLANBROOK ON,2024/02/25 05:00:00+00
7,15 287610 08 1L,Kennels and Pet Shops,BRB K/9 OBEDIENCE O/A COOPER KENNELS,226 CARLUKE RD E  ANCASTER ON,2024/05/13 05:00:00+00
8,14 206749 09 1L,Kennels and Pet Shops,COUNTRY HAVEN KENNELS,1153 REGIONAL RD 97  FLAMBOROUGH ON,2024/06/04 05:00:00+00
9,15 197292 09 1L,Kennels and Pet Shops,DEVONAIR KENNELS,1733 CENTRE RD  FLAMBOROUGH ON,2024/10/19 05:00:00+00
10,14 281978 09 1L,Kennels and Pet Shops,DOGS REFORMED INC.,1156 HIGHLAND RD E  STONEY CREEK ON,2024/09/30 05:00:00+00
11,15 175575 09 1L,Kennels and Pet Shops,FALCON LAKE KENNEL,1885 MILBUROUGH LINE  FLAMBOROUGH ON,2024/11/01 05:00:00+00
12,15 175573 09 1L,Kennels and Pet Shops,FORRESTDALE KENNELS,1835 MILBUROUGH LINE  FLAMBOROUGH ON,2024/10/04 05:00:00+00
13,14 274858 09 1L,Kennels and Pet Shops,GOODHEART KENNEL,1469 SAWMILL RD  ANCASTER ON,2024/07/21 05:00:00+00
14,14 207490 09 1L,Kennels and Pet Shops,HOLLY'S PRIDE ANCASTER INC.,416 HWY 52 S  ANCASTER ON,2025/01/08 05:00:00+00
15,16 199386 09 1L,Kennels and Pet Shops,JILMARPET KENNELS,55 EIGHTH RD E  STONEY CREEK ON,2024/09/06 05:00:00+00
16,15 276661 09 1L,Kennels and Pet Shops,MCCANN PROFESSIONAL DOG TRAINERS,929 BROCK RD  FLAMBOROUGH ON,2025/01/13 05:00:00+00
17,16 220582 09 1L,Kennels and Pet Shops,MCCANN PROFESSIONAL DOG TRAINERS,899 BROCK RD  FLAMBOROUGH ON,2025/01/13 05:00:00+00
18,15 175565 09 1L,Kennels and Pet Shops,MI-PAO KENNELS REG'D,702 PARKSIDE DR  FLAMBOROUGH ON,2024/06/08 05:00:00+00
19,19 296477 04 1L,Kennels and Pet Shops,MOLLY BAY KENNELS,2621 POWER LINE RD W  ANCASTER ON,2024/08/13 05:00:00+00
20,15 175919 08 1L,Kennels and Pet Shops,NITELATCHES SHETLAND SHEEPDOGS,589 EIGHTH RD E  STONEY CREEK ON,2024/03/13 05:00:00+00
21,20 298459 03 1L,Kennels and Pet Shops,OLD WORLD KENNELS,843 FIDDLERS GREEN RD  ANCASTER ON,2024/12/07 05:00:00+00
22,14 277719 09 1L,Kennels and Pet Shops,PALM CANADA CORPORATION O/A PETSMART,1779 STONE CHURCH RD E 2 STONEY CREEK ON,2024/12/04 05:00:00+00
23,14 167524 09 1L,Kennels and Pet Shops,PAULMAC'S PET STORE,1565 BARTON ST E  HAMILTON ON L8H 2X7,2024/11/09 05:00:00+00
24,21 298816 02 1L,Kennels and Pet Shops,PET PARADISE,2300 UPPER JAMES ST  GLANBROOK ON,2024/04/12 05:00:00+00
25,18 293743 05 1L,Kennels and Pet Shops,PETM CANADA CORPORATION O/A PETSMART,120 PORTIA DR  ANCASTER ON L9G 0G1,2024/03/06 05:00:00+00
26,15 177792 08 1L,Kennels and Pet Shops,PETM CANADA CORPORATION O/A PETSMART INC.,14 MARTINDALE CRES  ANCASTER ON,2024/03/08 05:00:00+00
27,21 299420 01 1L,Kennels and Pet Shops,PETM CANADA CORPORATION/120257027,502 CENTENNIAL PKWY N  HAMILTON ON,2025/01/04 05:00:00+00
28,15 290405 07 1L,Kennels and Pet Shops,PETSM CANADA CORPORATION O/A PETSMART,1231 BARTON ST E  HAMILTON ON L8H 2V4,2024/03/10 05:00:00+00
29,14 180165 09 1L,Kennels and Pet Shops,SHADOWBROOK  KENNELS,107 BINBROOK RD  GLANBROOK ON,2024/06/15 05:00:00+00
30,14 275269 09 1L,Kennels and Pet Shops,TABARKA SHELTIE KENNELS,200 14TH CON RD E  FLAMBOROUGH,2024/12/05 05:00:00+00
31,15 175555 09 1L,Kennels and Pet Shops,WINDRUN FARM,1279 4TH CON RD W  FLAMBOROUGH,2024/10/05 05:00:00+00
32,15 175554 09 1L,Kennels and Pet Shops,WYLDEWOOD KENNELS,231 11TH CON RD E  FLAMBOROUGH,2024/09/20 05:00:00+00
